"Symbol","Description","Universe"
"ATOS","Atossa Therapeutics Inc","Domestic"
"ATPL","Atlantis Plastics Inc","Domestic"
"ATPT","All State Properties Holdings Inc","Domestic"
"ATR","Aptargroup Inc","Domestic"
"ATRA","Atara Biotherapeutics Inc","Domestic"
"ATRC","AtriCure Inc","Domestic"
"ATRI","Atrion Corp","Domestic"
"ATRO","Astronics Corp","Domestic"
"ATROB","Astronics Corp","Domestic"
"ATRS","Antares Pharma Inc","Domestic"
"ATRX","Adhera Therapeutics Inc","Domestic"
"ATSG","Air Transport Services Group Inc","Domestic"
"ATUS","Altice USA Inc","Domestic"
"ATVI","Activision Blizzard Inc","Domestic"
"ATVK","Ameritek Ventures","Domestic"
"ATWT","ATWEC Technologies Inc","Domestic"
"ATXI","Avenue Therapeutics Inc","Domestic"
"ATYG","Atlas Technology Group Inc","Domestic"
"AUB","Atlantic Union Bankshares Corp","Domestic"
"AUBN","Auburn National Bancorporation Inc","Domestic"
"AUMC","Auryn Mining Corp","Domestic"
"AUMN","Golden Minerals Co","Domestic"
"AURI","Auri Inc","Domestic"
"AUSAF","Australis Capital Inc","Domestic"
"AUSI","Aura Systems Inc","Domestic"
"AUTO","Autoweb Inc","Domestic"
